feature,mean_importance,std_importance,mean_rank
f476,0.000247,0.000099,537.67
f477,0.000228,0.000048,553.67
f478,0.000213,0.000035,565.00
f479,0.001108,0.000447,215.67
f480,0.000382,0.000281,477.67
f481,0.000912,0.000173,234.67
f482,0.000434,0.000205,429.00
f483,0.000773,0.000546,341.33
f484,0.000172,0.000031,597.67
f485,0.000297,0.000254,531.00
f486,0.000198,0.000029,573.33
f487,0.000360,0.000183,470.33
f488,0.001003,0.000629,275.00
f489,0.000907,0.000468,292.33
f490,0.001431,0.000133,160.33
f491,0.000169,0.000017,596.00
f492,0.000342,0.000105,473.00
f493,0.000763,0.000184,276.00
f494,0.000386,0.000156,449.33
f495,0.000164,0.000024,601.00
f496,0.000678,0.000459,362.00
f497,0.000519,0.000123,372.67
f498,0.000721,0.000204,293.67
f499,0.000653,0.000272,332.33
f500,0.000759,0.000259,292.67
f501,0.000610,0.000090,325.00
f502,0.000508,0.000333,414.67
f503,0.001225,0.000443,199.67
f504,0.000580,0.000113,345.33
f505,0.000848,0.000283,261.33
f506,0.000574,0.000091,334.67
f507,0.001002,0.000155,214.67
f508,0.000325,0.000019,480.00
f509,0.000459,0.000287,431.67
f510,0.000233,0.000078,542.33
f511,0.000399,0.000307,475.67
f512,0.000252,0.000157,536.33
f513,0.000969,0.000080,219.33
f514,0.000447,0.000133,409.33
f515,0.000845,0.000160,247.67
f516,0.000448,0.000197,419.33
f517,0.000406,0.000175,441.67
f518,0.000444,0.000265,430.33
f519,0.001431,0.000292,162.33
f520,0.001166,0.000200,190.33
f521,0.000902,0.000222,240.67
f522,0.001451,0.000733,186.67
f523,0.000510,0.000303,409.67
f524,0.000993,0.000549,292.33
f525,0.000300,0.000165,504.00
f526,0.000408,0.000112,431.00
f527,0.000270,0.000070,517.67
f528,0.000741,0.000023,271.00
f529,0.001021,0.000482,242.33
f530,0.000284,0.000110,507.33
f531,0.000266,0.000078,526.00
f532,0.000366,0.000173,465.00
f533,0.000397,0.000136,440.67
f534,0.000581,0.000149,347.67
f535,0.000295,0.000143,511.33
f536,0.000353,0.000110,464.67
f537,0.000355,0.000095,461.67
f538,0.000375,0.000241,464.33
f539,0.000322,0.000228,501.00
f540,0.000610,0.000068,319.67
f541,0.000793,0.000191,267.33
f542,0.001013,0.000233,216.00
f543,0.000278,0.000115,517.33
f544,0.000636,0.000540,407.67
f545,0.000486,0.000571,501.67
f546,0.000310,0.000087,494.00
f547,0.000242,0.000149,543.00
f548,0.000422,0.000094,416.67
f549,0.000712,0.000508,361.33
f550,0.000626,0.000006,313.00
f551,0.000904,0.000560,297.67
f552,0.000465,0.000271,427.67
f553,0.000881,0.000453,287.67
f554,0.000377,0.000137,453.67
f555,0.000617,0.000280,348.67
f556,0.000356,0.000067,463.33
f557,0.000268,0.000013,520.33
f558,0.000432,0.000061,412.67
f559,0.000259,0.000155,533.00
f560,0.001066,0.000595,277.00
f561,0.000789,0.000403,307.00
f562,0.000414,0.000031,424.33
f563,0.000430,0.000063,413.00
f564,0.001189,0.000608,238.33
f565,0.002327,0.000879,121.33
f566,0.001419,0.000172,163.33
f567,0.000201,0.000076,571.67
f568,0.000139,0.000070,625.00
f569,0.000426,0.000085,420.00
f570,0.000344,0.000184,484.33
f571,0.000263,0.000136,534.00
f572,0.000235,0.000135,553.67
f573,0.000348,0.000254,489.67
f574,0.000350,0.000061,468.33
f575,0.000095,0.000038,658.00
f576,0.000083,0.000026,668.00
f577,0.000171,0.000054,592.67
f578,0.000217,0.000055,558.33
f579,0.000317,0.000117,495.33
f580,0.000589,0.000162,345.00
f581,0.000412,0.000100,424.67
f582,0.000668,0.000233,323.00
f583,0.000308,0.000164,504.33
f584,0.000658,0.000236,321.00
f585,0.000519,0.000400,431.00
f586,0.000803,0.000157,263.00
f587,0.000569,0.000129,342.00
f588,0.000412,0.000206,438.00
f589,0.000529,0.000344,407.33
f590,0.000269,0.000267,549.33
f591,0.000797,0.000053,255.00
f592,0.000602,0.000131,330.67
f593,0.001443,0.000431,165.00
f594,0.001315,0.000379,176.00
f595,0.000596,0.000354,379.00
f596,0.001429,0.000284,159.00
f597,0.000576,0.000197,355.67
f598,0.001630,0.000503,150.00
f599,0.001622,0.000587,160.67
f600,0.000658,0.000399,361.33
f601,0.000796,0.000390,312.67
f602,0.000538,0.000347,402.33
f603,0.000291,0.000073,508.00
f604,0.000516,0.000043,367.67
f605,0.000764,0.000284,293.33
f606,0.000339,0.000226,496.33
f607,0.001144,0.000167,192.67
f608,0.000394,0.000155,447.33
f609,0.000598,0.000093,328.33
f610,0.000134,0.000043,629.33
f611,0.000433,0.000198,431.67
f612,0.000131,0.000061,633.33
f613,0.000290,0.000242,523.33
f614,0.000269,0.000125,531.67
f615,0.000374,0.000179,461.33
f616,0.001151,0.000530,237.00
f617,0.000421,0.000124,420.00
f618,0.000433,0.000316,451.67
f619,0.000233,0.000083,550.67
f620,0.000317,0.000080,484.00
f621,0.000752,0.000251,291.00
f622,0.000311,0.000089,496.33
f623,0.000451,0.000469,493.00
f624,0.000467,0.000351,445.33
f625,0.000341,0.000118,473.33
f626,0.000162,0.000050,605.00
f627,0.002632,0.000698,96.00
f628,0.002880,0.000788,88.00
f629,0.002414,0.000708,108.33
f630,0.002640,0.000289,93.33
f631,0.000875,0.000210,249.67
f632,0.001266,0.000742,249.67
f633,0.000600,0.000134,328.00
f634,0.000486,0.000188,394.33
f635,0.000349,0.000134,469.67
f636,0.000912,0.000513,291.33
f637,0.000481,0.000146,396.67
f638,0.000165,0.000086,612.00
f639,0.000540,0.000055,358.00
f640,0.000302,0.000100,505.67
f641,0.000510,0.000171,388.00
f642,0.000867,0.000221,254.33
f643,0.000360,0.000123,459.00
f644,0.000614,0.000391,375.33
f645,0.000644,0.000161,315.33
f646,0.000176,0.000095,592.00
f647,0.000323,0.000215,504.67
f648,0.000253,0.000135,542.00
f649,0.002605,0.000528,97.00
f650,0.001866,0.000758,151.67
f651,0.000222,0.000176,564.67
f652,0.000215,0.000094,564.33
f653,0.000492,0.000163,390.67
f654,0.000308,0.000185,502.00
